TP,SL,is_baseline,W1_sh,W1_n,W2_sh,W2_n,W2_wr,delta_w2,pass
5%,0.8%,False,8.089729658667485,91,12.253311041255744,516,0.5445736434108527,0.12731104125574433,True
4%,0.8%,False,7.624950498268548,91,12.190872370465623,524,0.5706106870229007,0.06487237046562377,True
5%,1.0%,True,9.038477473312838,90,12.126046850219334,513,0.5672514619883041,4.6850219334260146e-05,True
4%,1.0%,False,9.19981565682335,90,11.951734619470209,521,0.5930902111324377,-0.1742653805297909,True
3%,0.8%,False,6.951192999757302,91,11.757456680412682,532,0.6015037593984962,-0.36854331958731734,True
3%,1.0%,False,8.761809082816622,90,11.358923969139727,529,0.6238185255198487,-0.767076030860272,True
