symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,40,0.03,0.01,12,False,-33.024979890539925,55,False,-22.45608088785782,0.34782608695652173,23,-0.07719300476659925,-0.0029381987374385455,-43.593878893222026,0.28125,32,-0.14319471343096363,-0.004236817349726484
KRW-BTC,20,2.0,15,20,40,0.03,0.01,24,True,-54.383998333655725,55,False,-39.89751523301501,0.43478260869565216,23,-0.08147262772798813,-0.003943847172159538,-68.87048143429644,0.34375,32,-0.17150267002975964,-0.005474274779113355
KRW-BTC,20,2.0,15,20,40,0.03,0.01,24,False,-53.55305078219195,54,False,-15.320383838083908,0.34782608695652173,23,-0.07309618821072426,-0.002316418528105396,-91.78571772629999,0.22580645161290322,31,-0.2014651746199898,-0.0067315475305644405
KRW-BTC,20,2.0,15,20,40,0.03,0.015,12,True,-56.315161472995484,53,False,-49.55714932277575,0.45454545454545453,22,-0.10671239723967965,-0.005806991600105391,-63.073173623215226,0.3870967741935484,31,-0.18171193136036604,-0.006036252014844286
KRW-BTC,20,2.0,15,20,40,0.03,0.015,12,False,-32.73834676788138,53,False,-34.52666834277625,0.36363636363636365,22,-0.09495171460706883,-0.005089604088350041,-30.950025192986523,0.3548387096774194,31,-0.13411028062299818,-0.0038895627576216968
KRW-BTC,20,2.0,15,20,40,0.03,0.015,24,True,-49.75782129625295,53,False,-47.152689924735284,0.5,22,-0.1041566167660231,-0.005674550865224378,-52.362952667770614,0.4838709677419355,31,-0.1802256025410499,-0.005471447392689296
KRW-BTC,20,2.0,15,20,40,0.03,0.015,24,False,-35.65437594853464,52,False,-20.353467335745783,0.4090909090909091,22,-0.07886857474676101,-0.0035134786290871717,-50.9552845613235,0.3333333333333333,30,-0.18159450007259992,-0.006080459928539696
KRW-BTC,20,2.0,15,20,45,0.015,0.008,12,True,-51.86064248546255,71,False,-43.92522415001738,0.36666666666666664,30,-0.09430012244977205,-0.0035836856527131883,-59.79606082090773,0.3170731707317073,41,-0.16203167157074228,-0.0038169226227270903
KRW-BTC,20,2.0,15,20,45,0.015,0.008,12,False,-44.55627383980379,71,False,-46.753280417701255,0.26666666666666666,30,-0.11011866646957903,-0.004163216075913361,-42.35926726190632,0.2926829268292683,41,-0.1583831553594234,-0.003394685266580573
KRW-BTC,20,2.0,15,20,45,0.015,0.008,24,True,-49.93399702622763,71,False,-47.903829213120545,0.36666666666666664,30,-0.10506467394797611,-0.003979646996258679,-51.96416483933471,0.34146341463414637,41,-0.15060280273760807,-0.003485862214319165
