symbol,bb_period,bb_std,vol_mult,max_hold,bb_exit_mid,adx_ceil,rsi_floor,rsi_ceil,tp,sl,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.03,0.02,-14.65130851532118,34,False,2.2900928171819044,0.5555555555555556,9,-0.021470000000000038,0.0012641285107144547,-31.592709847824263,0.28,25,-0.2422065526867964,-0.011597428471757291
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.04,0.01,-16.120043386706595,35,False,0.012310476407016192,0.3,10,-0.056121010269976415,5.892279868772131e-06,-32.252397249820206,0.16,25,-0.16530729435101602,-0.0076182839706530146
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.04,0.015,-13.8426920820304,34,False,8.909815980436958,0.5555555555555556,9,-0.016477500000000186,0.004820084764283897,-36.59520014449776,0.2,25,-0.22308433548925272,-0.010640049933438518
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.04,0.02,-13.626415962079555,34,False,4.339877923665151,0.5555555555555556,9,-0.02147000000000009,0.002601195875395033,-31.592709847824263,0.28,25,-0.2422065526867964,-0.011597428471757291
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.05,0.01,-15.186804721309358,35,False,1.8787878072014923,0.3,10,-0.05612101026997621,0.0010043922798687837,-32.252397249820206,0.16,25,-0.16530729435101602,-0.0076182839706530146
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.05,0.015,-13.275576180251946,34,False,10.044047783993868,0.5555555555555556,9,-0.01647750000000007,0.005929529208728353,-36.59520014449776,0.2,25,-0.22308433548925272,-0.010640049933438518
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.05,0.02,-12.927900424102635,34,False,5.7369089996189935,0.5555555555555556,9,-0.021470000000000034,0.0037106403198394894,-31.592709847824263,0.28,25,-0.2422065526867964,-0.011597428471757291
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.02,0.01,-14.569518259551561,57,False,-9.341937711144531,0.29411764705882354,17,-0.07676076561940731,-0.003134556939625549,-19.79709880795859,0.2,40,-0.22438355982685726,-0.005812756120131005
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.02,0.015,-15.70938191253737,51,False,-10.996887289115746,0.35714285714285715,14,-0.08214781110232323,-0.004554640569545332,-20.421876535958997,0.2702702702702703,37,-0.2705314680566459,-0.007364442382444545
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.02,0.02,-13.421627910244926,50,False,-9.93849832921911,0.42857142857142855,14,-0.09943023002274308,-0.004911247712402454,-16.904757491270743,0.3611111111111111,36,-0.29500408671884926,-0.007360106433567164
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.03,0.01,-11.24173908744817,56,False,-9.96800243973158,0.1875,16,-0.10466727287417192,-0.003996249999999944,-12.51547573516476,0.2,40,-0.1944928835889574,-0.004561680794015946
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.03,0.015,-9.079496428762717,51,False,-4.111029655802691,0.35714285714285715,14,-0.06897386603960018,-0.0020872739839729025,-14.047963201722744,0.2702702702702703,37,-0.2533679075774781,-0.006011928516374208
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.03,0.02,-10.30063770738014,50,False,-9.324709064210685,0.35714285714285715,14,-0.10611709158138762,-0.005296738269687177,-11.276566350549594,0.3611111111111111,36,-0.2784163389747054,-0.005692661626772649
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.04,0.01,-13.952244531278467,56,False,-14.624018462171655,0.125,16,-0.11318721545211625,-0.005740399607367128,-13.280470600385277,0.2,40,-0.20232675516567686,-0.004728148242174353
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.04,0.015,-11.124228192959457,51,False,-8.710751621462306,0.2857142857142857,14,-0.08249087207741654,-0.004437194963821101,-13.537704764456606,0.2702702702702703,37,-0.2603753029477426,-0.005912486801324288
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.04,0.02,-13.240956007334312,50,False,-14.155879189994259,0.2857142857142857,14,-0.12356643737383649,-0.008003266392392528,-12.326032824674362,0.3611111111111111,36,-0.29296732261201586,-0.006088984760595721
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.05,0.01,-12.44205177768665,56,False,-11.603632954988022,0.125,16,-0.11318721545211613,-0.005116337107367121,-13.280470600385277,0.2,40,-0.20232675516567686,-0.004728148242174353
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.05,0.015,-11.252725366669749,51,False,-6.750760853823185,0.2857142857142857,14,-0.08249087207741648,-0.0037239806781068072,-15.754689879516313,0.2702702702702703,37,-0.2603753029477426,-0.0064321821138813295
KRW-BTC,20,2.0,1.2,18,True,25,20,40,0.05,0.02,-13.083619500837285,50,False,-12.020102050462128,0.2857142857142857,14,-0.12356643737383641,-0.007290052106678235,-14.147136951212442,0.3611111111111111,36,-0.29296732261201586,-0.006623116054057126
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.02,0.01,-14.198310842730193,65,False,-7.885120920750751,0.30434782608695654,23,-0.10391486074824816,-0.0027081507814623517,-20.511500764709634,0.21428571428571427,42,-0.2104078511936284,-0.0058218080364244255
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.02,0.015,-16.377526268373067,58,False,-11.581254293584779,0.3684210526315789,19,-0.11002316327176513,-0.0046815136890410915,-21.173798243161357,0.28205128205128205,39,-0.257387291203878,-0.007422629766026508
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.02,0.02,-14.834748335954266,57,False,-11.92397213452616,0.42105263157894735,19,-0.13564832537812294,-0.005732566320620022,-17.745524537382373,0.3684210526315789,38,-0.28230087806917803,-0.007551434850868515
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.03,0.01,-10.85090660434054,64,False,-7.893698780928359,0.22727272727272727,22,-0.13943747586934946,-0.003177940158338037,-13.808114427752722,0.21428571428571427,42,-0.1799785796393914,-0.004779896893281587
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.03,0.015,-10.767622325244984,58,False,-6.140415035466979,0.3684210526315789,19,-0.11002316327176516,-0.0029457075565904544,-15.394829615022989,0.28205128205128205,39,-0.23991446327247284,-0.006300571611872681
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.03,0.02,-11.956846827530722,57,False,-11.31730370244282,0.3684210526315789,19,-0.1455287298372787,-0.006098865451327288,-12.596389952618622,0.3684210526315789,38,-0.2654142383504108,-0.0061370856926580035
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.04,0.01,-11.997897858998552,64,False,-9.36813743536611,0.18181818181818182,22,-0.14932103645899006,-0.003992548963695995,-14.627658282630993,0.21428571428571427,42,-0.1879536084956061,-0.004938437320099119
KRW-BTC,20,2.0,1.2,18,True,25,20,45,0.04,0.015,-11.52253798957588,58,False,-8.198370412531794,0.3157894736842105,19,-0.12468775659895462,-0.004151701962794397,-14.846705566619967,0.28205128205128205,39,-0.24704812377960186,-0.006206229471953522
