W,btc_active_bars,alt_syms,w1_sharpe,w1_n,w1_wr,w2_sharpe,w2_n,w2_wr,passed
20,311,193,6.529768574492062,1990,0.40954773869346733,4.264204510229557,4836,0.26881720430107525,False
24,300,214,6.502293486902049,2001,0.39580209895052476,4.562498443395503,4834,0.29209764170459246,False
28,284,210,6.48338094627656,2019,0.3863298662704309,4.112630436750489,4319,0.2847881454040287,False
32,245,206,6.826422258612039,1806,0.42248062015503873,6.502462192951896,3498,0.37793024585477414,True
36,233,208,6.742030906636115,1704,0.4025821596244131,6.875855934764507,3209,0.3907759426612652,True
40,221,212,5.1252399115113825,1700,0.3323529411764706,5.872961598190037,3173,0.3501418216199181,True
48,216,201,5.910016405897595,1388,0.3645533141210375,5.029865234324296,3360,0.32261904761904764,True
