bb_period,bb_std,entry_pct,tp,sl,max_hold,bb_exit_mid,slippage,passed,avg_sharpe,W1_sharpe,W1_n,W1_wr,W1_avg,W2_sharpe,W2_n,W2_wr,W2_avg
15,2.0,0.0,0.05,0.02,12,False,0.001,0,-6.991700800906417,-3.795605194704958,72,0.3055555555555556,-0.002870607096679146,-10.187796407107877,86,0.22093023255813954,-0.007101931255373091
15,2.0,0.0,0.05,0.02,12,False,0.002,0,-11.891099405625841,-8.731970191180606,72,0.25,-0.00632507560345676,-15.050228620071074,87,0.20689655172413793,-0.00976960365489338
15,2.0,0.0,0.05,0.02,12,False,0.003,0,-17.366721278344283,-12.210336671437142,73,0.2191780821917808,-0.008566613546227193,-22.52310588525142,87,0.1839080459770115,-0.013066993306641987
15,2.0,0.0,0.05,0.02,12,True,0.001,0,-8.112084993571099,-7.700051896074594,72,0.3333333333333333,-0.004922266499370827,-8.524118091067603,86,0.313953488372093,-0.005495753865939541
15,2.0,0.0,0.05,0.02,12,True,0.002,0,-13.052317350871267,-13.01412153069431,72,0.2777777777777778,-0.007976550354754268,-13.090513171048224,87,0.2988505747126437,-0.007979212025470932
15,2.0,0.0,0.05,0.02,12,True,0.003,0,-17.226980338962186,-17.151108673966124,73,0.2602739726027397,-0.009968409710189525,-17.302852003958243,88,0.2840909090909091,-0.010073223724152432
15,2.0,0.0,0.05,0.02,24,False,0.001,0,-6.750560606055283,-2.2030137370099534,71,0.28169014084507044,-0.001781267605633752,-11.298107475100613,86,0.19767441860465115,-0.007951539019424069
15,2.0,0.0,0.05,0.02,24,False,0.002,0,-10.471362888170647,-6.422307525573481,72,0.25,-0.004993749999999953,-14.520418250767813,87,0.1839080459770115,-0.009914608219115923
15,2.0,0.0,0.05,0.02,24,False,0.003,0,-15.273719622108324,-9.477048313488849,73,0.2328767123287671,-0.0071856849315068035,-21.070390930727797,87,0.14942528735632185,-0.013145929019943716
15,2.0,0.0,0.05,0.02,24,True,0.001,0,-8.03806302435679,-7.700051896074594,72,0.3333333333333333,-0.004922266499370827,-8.376074152638985,86,0.313953488372093,-0.0054150398921185595
15,2.0,0.0,0.05,0.02,24,True,0.002,0,-12.967134249658713,-13.01412153069431,72,0.2777777777777778,-0.007976550354754268,-12.920146968623119,87,0.2988505747126437,-0.00789958521211363
15,2.0,0.0,0.05,0.02,24,True,0.003,0,-17.130961131328988,-17.151108673966124,73,0.2602739726027397,-0.009968409710189525,-17.110813588691855,88,0.2840909090909091,-0.009994659048961586
15,2.0,0.0,0.05,0.02,48,False,0.001,0,-6.4472975065293525,-2.2030137370099534,71,0.28169014084507044,-0.001781267605633752,-10.691581276048751,86,0.19767441860465115,-0.007653546511627856
15,2.0,0.0,0.05,0.02,48,False,0.002,0,-10.117145842206206,-6.422307525573481,72,0.25,-0.004993749999999953,-13.811984158838932,87,0.1839080459770115,-0.009608620689655137
15,2.0,0.0,0.05,0.02,48,False,0.003,0,-14.90742524977911,-9.477048313488849,73,0.2328767123287671,-0.0071856849315068035,-20.33780218606937,87,0.14942528735632185,-0.013006839080459725
15,2.0,0.0,0.05,0.02,48,True,0.001,0,-8.03806302435679,-7.700051896074594,72,0.3333333333333333,-0.004922266499370827,-8.376074152638985,86,0.313953488372093,-0.0054150398921185595
15,2.0,0.0,0.05,0.02,48,True,0.002,0,-12.967134249658713,-13.01412153069431,72,0.2777777777777778,-0.007976550354754268,-12.920146968623119,87,0.2988505747126437,-0.00789958521211363
15,2.0,0.0,0.05,0.02,48,True,0.003,0,-17.130961131328988,-17.151108673966124,73,0.2602739726027397,-0.009968409710189525,-17.110813588691855,88,0.2840909090909091,-0.009994659048961586
15,2.0,0.0,0.05,0.03,12,False,0.001,0,-6.636362444528379,-4.843058808838497,69,0.391304347826087,-0.004325404015871309,-8.42966608021826,81,0.30864197530864196,-0.007308708046560659
