TP,SL,is_baseline,W1_sh,W1_n,W2_sh,W2_n,W2_wr,delta_w2,pass
5%,0.8%,False,8.089729658667485,91,12.253311041255744,516,0.5445736434108527,1.0493110412557431,True
6%,0.8%,False,8.049025578589154,91,12.163640592611891,512,0.5234375,0.9596405926118905,True
5%,1.0%,False,9.038477473312838,90,12.126046850219334,513,0.5672514619883041,0.9220468502193331,True
6%,1.0%,False,9.063418142842751,90,12.021717952310693,509,0.5442043222003929,0.8177179523106926,True
7%,0.8%,False,8.23024533469766,91,11.899153009518834,511,0.5009784735812133,0.6951530095188332,True
7%,1.0%,False,9.28506956038,90,11.87484059068838,508,0.5236220472440944,0.6708405906883801,True
8%,1.0%,True,9.570924206578635,90,11.20387214774489,508,0.49015748031496065,-0.00012785225511002807,True
8%,0.8%,False,8.483451291282474,91,11.15116004608795,511,0.4657534246575342,-0.05283995391205032,True
