bb_period,bb_std,entry_pct,tp,sl,max_hold,bb_exit_mid,slippage,passed,avg_sharpe,W1_sharpe,W1_n,W1_wr,W1_avg,W2_sharpe,W2_n,W2_wr,W2_avg
15,2.0,0.0,0.05,0.02,12,False,0.001,0,-11.094373832707856,-11.185626168125586,68,0.29411764705882354,-0.006891067469556974,-11.003121497290127,83,0.24096385542168675,-0.007123834961231254
15,2.0,0.0,0.05,0.02,12,False,0.002,0,-14.067758257643042,-15.282695468940451,69,0.2463768115942029,-0.009266664685023684,-12.852821046345634,83,0.2289156626506024,-0.008275996316372002
15,2.0,0.0,0.05,0.02,12,False,0.003,0,-18.361546750647676,-19.352587499823276,70,0.21428571428571427,-0.011228815695151209,-17.370506001472076,83,0.20481927710843373,-0.010784535388641712
15,2.0,0.0,0.05,0.02,12,True,0.001,0,-8.535163381854773,-7.670646864165163,68,0.35294117647058826,-0.0045289697252951224,-9.399679899544381,83,0.3253012048192771,-0.00561900287172549
15,2.0,0.0,0.05,0.02,12,True,0.002,0,-11.604060141064142,-11.469164892200604,69,0.3188405797101449,-0.006644446212067995,-11.738955389927682,83,0.30120481927710846,-0.006920185978426481
15,2.0,0.0,0.05,0.02,12,True,0.003,0,-17.557750271262925,-16.73672287492549,70,0.2857142857142857,-0.00915933469169925,-18.378777667600364,83,0.25301204819277107,-0.010105213146810298
15,2.0,0.0,0.05,0.02,24,False,0.001,0,-8.991850671255419,-7.285508216516797,65,0.24615384615384617,-0.0053566291692217285,-10.69819312599404,79,0.20253164556962025,-0.007557685918333599
15,2.0,0.0,0.05,0.02,24,False,0.002,0,-12.77270531667012,-13.387715005419675,66,0.19696969696969696,-0.009261877100769702,-12.157695627920562,79,0.20253164556962025,-0.008576944389833304
15,2.0,0.0,0.05,0.02,24,False,0.003,0,-18.7086051709776,-19.463866460441565,68,0.17647058823529413,-0.012403820169306008,-17.95334388151363,82,0.17073170731707318,-0.011803561355961077
15,2.0,0.0,0.05,0.02,24,True,0.001,0,-8.770891160308251,-7.815260190434182,68,0.35294117647058826,-0.004625056478077115,-9.72652213018232,82,0.32926829268292684,-0.005869377435973102
15,2.0,0.0,0.05,0.02,24,True,0.002,0,-12.014471686633362,-12.014694990565168,69,0.3188405797101449,-0.006996724080133692,-12.014248382701556,82,0.3048780487804878,-0.007149807709301138
15,2.0,0.0,0.05,0.02,24,True,0.003,0,-18.10231892318174,-17.242553415030944,70,0.2857142857142857,-0.009478081532263174,-18.962084431332535,83,0.26506024096385544,-0.010482276835507748
15,2.0,0.0,0.05,0.02,48,False,0.001,0,-9.007869969254404,-6.682575170641027,64,0.234375,-0.005088359374999962,-11.333164767867784,78,0.19230769230769232,-0.008028653846153805
15,2.0,0.0,0.05,0.02,48,False,0.002,0,-13.234439435795753,-13.720586623628202,65,0.18461538461538463,-0.009559230769230737,-12.748292247963304,78,0.19230769230769232,-0.009022115384615335
15,2.0,0.0,0.05,0.02,48,False,0.003,0,-18.30233086586111,-18.024280051291957,67,0.16417910447761194,-0.01197768656716413,-18.580381680430264,81,0.16049382716049382,-0.012234753086419704
15,2.0,0.0,0.05,0.02,48,True,0.001,0,-8.770891160308251,-7.815260190434182,68,0.35294117647058826,-0.004625056478077115,-9.72652213018232,82,0.32926829268292684,-0.005869377435973102
15,2.0,0.0,0.05,0.02,48,True,0.002,0,-12.014471686633362,-12.014694990565168,69,0.3188405797101449,-0.006996724080133692,-12.014248382701556,82,0.3048780487804878,-0.007149807709301138
15,2.0,0.0,0.05,0.02,48,True,0.003,0,-18.10231892318174,-17.242553415030944,70,0.2857142857142857,-0.009478081532263174,-18.962084431332535,83,0.26506024096385544,-0.010482276835507748
15,2.0,0.0,0.05,0.03,12,False,0.001,0,-10.345963678562107,-10.018441718494081,65,0.36923076923076925,-0.007540777999930693,-10.673485638630131,80,0.3125,-0.008669708490394588
15,2.0,0.0,0.05,0.03,12,False,0.002,0,-13.97428207082626,-13.869312950690592,65,0.3384615384615385,-0.010116748368451257,-14.079251190961925,80,0.2875,-0.011204011176643248
15,2.0,0.0,0.05,0.03,12,False,0.003,0,-16.166567453313423,-16.126041444131538,65,0.3230769230769231,-0.011736259241636978,-16.20709346249531,80,0.275,-0.012847326584595647
15,2.0,0.0,0.05,0.03,12,True,0.001,0,-7.665263788150398,-5.240336062067909,65,0.47692307692307695,-0.0037040851162550197,-10.090191514232886,80,0.3875,-0.0074792948346273395
15,2.0,0.0,0.05,0.03,12,True,0.002,0,-11.485966829927747,-8.829178946419395,65,0.4461538461538462,-0.006138494444844897,-14.142754713436098,80,0.35,-0.010180774918798631
15,2.0,0.0,0.05,0.03,12,True,0.003,0,-13.917842813007738,-11.078872380973415,65,0.4153846153846154,-0.007614292846558653,-16.75681324504206,80,0.325,-0.01194223029802614
15,2.0,0.0,0.05,0.03,24,False,0.001,0,-7.888307093089708,-6.78691814671477,62,0.3225806451612903,-0.005930181935875792,-8.989696039464645,76,0.2894736842105263,-0.008221776183631554
15,2.0,0.0,0.05,0.03,24,False,0.002,0,-10.61993385400855,-9.794235874264707,62,0.3064516129032258,-0.008390257668934057,-11.445631833752396,76,0.27631578947368424,-0.010304299876410372
15,2.0,0.0,0.05,0.03,24,False,0.003,0,-13.098004034994247,-11.80051455426969,62,0.2903225806451613,-0.010115372074400745,-14.395493515718806,76,0.2631578947368421,-0.012614761522098223
15,2.0,0.0,0.05,0.03,24,True,0.001,0,-7.329313065477534,-4.952766341462973,65,0.49230769230769234,-0.003541302993492513,-9.705859789492095,79,0.4050632911392405,-0.007274210375073611
15,2.0,0.0,0.05,0.03,24,True,0.002,0,-11.094892558504846,-8.477010955389733,65,0.46153846153846156,-0.005961188914695596,-13.71277416161996,79,0.3670886075949367,-0.0099851940718782
15,2.0,0.0,0.05,0.03,24,True,0.003,0,-13.48639659269721,-10.682218010138001,65,0.4307692307692308,-0.00742252259658472,-16.290575175256418,79,0.35443037974683544,-0.011744303229273086
15,2.0,0.0,0.05,0.03,48,False,0.001,0,-8.669049954917945,-6.523998143450473,57,0.3157894736842105,-0.006229736842105215,-10.814101766385418,74,0.2702702702702703,-0.00986581081081076
15,2.0,0.0,0.05,0.03,48,False,0.002,0,-11.250121352465337,-9.186551105666977,57,0.2982456140350877,-0.008624999999999978,-13.313691599263697,74,0.25675675675675674,-0.01193581081081077
15,2.0,0.0,0.05,0.03,48,False,0.003,0,-13.939897842228303,-11.95949549918031,57,0.2807017543859649,-0.011017456140350834,-15.920300185276297,74,0.24324324324324326,-0.014003648648648621
15,2.0,0.0,0.05,0.03,48,True,0.001,0,-7.329313065477534,-4.952766341462973,65,0.49230769230769234,-0.003541302993492513,-9.705859789492095,79,0.4050632911392405,-0.007274210375073611
15,2.0,0.0,0.05,0.03,48,True,0.002,0,-11.094892558504846,-8.477010955389733,65,0.46153846153846156,-0.005961188914695596,-13.71277416161996,79,0.3670886075949367,-0.0099851940718782
15,2.0,0.0,0.05,0.03,48,True,0.003,0,-13.48639659269721,-10.682218010138001,65,0.4307692307692308,-0.00742252259658472,-16.290575175256418,79,0.35443037974683544,-0.011744303229273086
15,2.0,0.0,0.08,0.02,12,False,0.001,0,-8.452743636164097,-6.412516338473461,68,0.29411764705882354,-0.004855955652676495,-10.492970933854735,83,0.21686746987951808,-0.007445803555647422
15,2.0,0.0,0.08,0.02,12,False,0.002,0,-11.34422102212076,-9.77439298141949,69,0.2463768115942029,-0.007308315896659002,-12.91404906282203,83,0.20481927710843373,-0.008875210791991462
15,2.0,0.0,0.08,0.02,12,False,0.003,0,-13.951899273475435,-12.26744130905103,70,0.21428571428571427,-0.009037155519635994,-15.63635723789984,83,0.1927710843373494,-0.01061810328511704
15,2.0,0.0,0.08,0.02,12,True,0.001,0,-8.001142744918914,-6.281152635975396,68,0.35294117647058826,-0.003959695088707599,-9.72113285386243,83,0.3132530120481928,-0.005994005769196687
15,2.0,0.0,0.08,0.02,12,True,0.002,0,-11.033349387150022,-9.96752645279129,69,0.3188405797101449,-0.006144676226609762,-12.099172321508753,83,0.2891566265060241,-0.007332681662041051
15,2.0,0.0,0.08,0.02,12,True,0.003,0,-15.829586826514376,-15.045938234498365,70,0.2857142857142857,-0.00874912991882804,-16.613235418530387,83,0.25301204819277107,-0.009714628606411013
15,2.0,0.0,0.08,0.02,24,False,0.001,0,-8.009583079499379,-4.428648798364767,63,0.2222222222222222,-0.003968824687112482,-11.590517360633992,78,0.14102564102564102,-0.009277878224242855
15,2.0,0.0,0.08,0.02,24,False,0.002,0,-11.928863422919363,-9.747712795069209,64,0.171875,-0.008261420584459807,-14.110014050769516,78,0.14102564102564102,-0.010842363628510364
15,2.0,0.0,0.08,0.02,24,False,0.003,0,-15.380362289559505,-11.619308135018194,67,0.1791044776119403,-0.009641799206472288,-19.141416444100816,81,0.12345679012345678,-0.013569586790582807
15,2.0,0.0,0.08,0.02,24,True,0.001,0,-8.231620310210769,-6.41992525725408,68,0.35294117647058826,-0.0040557818414895894,-10.043315363167459,82,0.3170731707317073,-0.00624895353951102
15,2.0,0.0,0.08,0.02,24,True,0.002,0,-11.430341550575996,-10.48754135119231,69,0.3188405797101449,-0.0064969540946754585,-12.373141749959684,82,0.2926829268292683,-0.007567333828081741
15,2.0,0.0,0.08,0.02,24,True,0.003,0,-16.350065689564005,-15.529006125786028,70,0.2857142857142857,-0.009067876759391962,-17.17112525334198,83,0.26506024096385544,-0.010091692295108463
15,2.0,0.0,0.08,0.02,48,False,0.001,0,-7.324327275532354,-2.770899371577052,62,0.1935483870967742,-0.0027429361869769613,-11.877755179487655,77,0.11688311688311688,-0.009799220779220736
15,2.0,0.0,0.08,0.02,48,False,0.002,0,-11.113854765859376,-9.134804264919909,63,0.14285714285714285,-0.00819999999999995,-13.092905266798843,77,0.11688311688311688,-0.010790909090909032
15,2.0,0.0,0.08,0.02,48,False,0.003,0,-13.290559087685928,-9.067185293269986,66,0.15151515151515152,-0.0083315151515151,-17.51393288210187,80,0.1,-0.013464999999999946
15,2.0,0.0,0.08,0.02,48,True,0.001,0,-8.231620310210769,-6.41992525725408,68,0.35294117647058826,-0.0040557818414895894,-10.043315363167459,82,0.3170731707317073,-0.00624895353951102
15,2.0,0.0,0.08,0.02,48,True,0.002,0,-11.430341550575996,-10.48754135119231,69,0.3188405797101449,-0.0064969540946754585,-12.373141749959684,82,0.2926829268292683,-0.007567333828081741
15,2.0,0.0,0.08,0.02,48,True,0.003,0,-16.350065689564005,-15.529006125786028,70,0.2857142857142857,-0.009067876759391962,-17.17112525334198,83,0.26506024096385544,-0.010091692295108463
15,2.0,0.0,0.08,0.03,12,False,0.001,0,-7.851886724729175,-5.491146079449686,65,0.36923076923076925,-0.004950891791501884,-10.212627370008663,80,0.2875,-0.008919191615404143
