sma_n,btc_active_bars,alt_syms,w1_sharpe,w1_n,w1_wr,w2_sharpe,w2_n,w2_wr,passed
10,233,208,6.742030906636115,1704,0.4025821596244131,6.875855934764507,3209,0.3907759426612652,True
15,276,217,5.904467564250371,1921,0.3669963560645497,6.000518151902755,4062,0.33874938453963566,True
20,302,214,5.464038384552066,2186,0.34492223238792313,5.198731081340348,4130,0.2970944309927361,True
25,329,218,6.475332332295371,2273,0.37747470303563574,5.188196020529302,4503,0.29224961137019767,True
30,388,218,6.78146070708305,2388,0.39321608040201006,4.510108270623083,5352,0.2711136023916293,False
